movieId,avg_score,name,categories,working_hours,city
76091,5.0,Mother (Madeo),Crime,"Virginia ( ()), officially the Commonwealth of Virginia, is a state in the Southeastern and Mid-Atlantic regions of the United States located between the Atlantic Coast and the Appalachian Mountains. The geography and climate of the Commonwealth are shaped by the Blue Ridge Mountains and the Chesapeake Bay, which provide habitat for much of its flora and fauna. The capital of the Commonwealth is Richmond; Virginia Beach is the most populous city, and Fairfax County is the most populous political subdivision. The Commonwealth's estimated population as of 2018 is over 8.5 million.",2009
76091,5.0,Mother (Madeo),Drama,"Virginia ( ()), officially the Commonwealth of Virginia, is a state in the Southeastern and Mid-Atlantic regions of the United States located between the Atlantic Coast and the Appalachian Mountains. The geography and climate of the Commonwealth are shaped by the Blue Ridge Mountains and the Chesapeake Bay, which provide habitat for much of its flora and fauna. The capital of the Commonwealth is Richmond; Virginia Beach is the most populous city, and Fairfax County is the most populous political subdivision. The Commonwealth's estimated population as of 2018 is over 8.5 million.",2009
76091,5.0,Mother (Madeo),Mystery,"Virginia ( ()), officially the Commonwealth of Virginia, is a state in the Southeastern and Mid-Atlantic regions of the United States located between the Atlantic Coast and the Appalachian Mountains. The geography and climate of the Commonwealth are shaped by the Blue Ridge Mountains and the Chesapeake Bay, which provide habitat for much of its flora and fauna. The capital of the Commonwealth is Richmond; Virginia Beach is the most populous city, and Fairfax County is the most populous political subdivision. The Commonwealth's estimated population as of 2018 is over 8.5 million.",2009
76091,5.0,Mother (Madeo),Thriller,"Virginia ( ()), officially the Commonwealth of Virginia, is a state in the Southeastern and Mid-Atlantic regions of the United States located between the Atlantic Coast and the Appalachian Mountains. The geography and climate of the Commonwealth are shaped by the Blue Ridge Mountains and the Chesapeake Bay, which provide habitat for much of its flora and fauna. The capital of the Commonwealth is Richmond; Virginia Beach is the most populous city, and Fairfax County is the most populous political subdivision. The Commonwealth's estimated population as of 2018 is over 8.5 million.",2009
136445,5.0,George Carlin: Back in Town,Comedy,"In the sport of association football, a defender is an outfield player whose primary roles is to stop attacks during the game and prevent the opposing team from scoring goals. Centre backs are usually are in pairs, with 2 full-backs to their left and right, but can come in threes with no full backs There are four types of defenders: centre-back, sweeper, full-back, and wing-back. The centre-back and full-back positions are essential in most modern formations. The sweeper and wing-back roles are more specialized for certain formations.",1996
136359,5.0,Scooby-Doo Goes Hollywood,Comedy,"Scooby Goes Hollywood (later released on home video as Scooby-Doo Goes Hollywood) is a 1979 television special starring the cast of Hanna-Barbera's Saturday-morning cartoon series Scooby-Doo. It was originally broadcast on ABC on December 23, 1979. The movie was first released on VHS by Worldvision Enterprises in the 1980s, and is currently available on DVD from Warner Home Video.",1979
136359,5.0,Scooby-Doo Goes Hollywood,Children,"Scooby Goes Hollywood (later released on home video as Scooby-Doo Goes Hollywood) is a 1979 television special starring the cast of Hanna-Barbera's Saturday-morning cartoon series Scooby-Doo. It was originally broadcast on ABC on December 23, 1979. The movie was first released on VHS by Worldvision Enterprises in the 1980s, and is currently available on DVD from Warner Home Video.",1979
136359,5.0,Scooby-Doo Goes Hollywood,Animation,"Scooby Goes Hollywood (later released on home video as Scooby-Doo Goes Hollywood) is a 1979 television special starring the cast of Hanna-Barbera's Saturday-morning cartoon series Scooby-Doo. It was originally broadcast on ABC on December 23, 1979. The movie was first released on VHS by Worldvision Enterprises in the 1980s, and is currently available on DVD from Warner Home Video.",1979
136355,5.0,Big Top Scooby-Doo!,Comedy,"Scooby-Doo, Where Are You! is a Saturday morning cartoon produced by Hanna-Barbera.",2012
136355,5.0,Big Top Scooby-Doo!,Children,"Scooby-Doo, Where Are You! is a Saturday morning cartoon produced by Hanna-Barbera.",2012
136355,5.0,Big Top Scooby-Doo!,Animation,"Scooby-Doo, Where Are You! is a Saturday morning cartoon produced by Hanna-Barbera.",2012
136353,5.0,Scooby-Doo! and the Loch Ness Monster,Comedy,"Scooby-Doo! and the Loch Ness Monster is a 2004 direct-to-video animated comedy horror film, and the seventh direct-to-video movie based upon the Scooby-Doo Saturday morning cartoons. It was released on June 22, 2004, and it was produced by Warner Bros. Animation (although Warner Bros. had fully absorbed Hanna-Barbera Cartoons by this time, Hanna-Barbera was still credited as the copyright holder and the movie ended with an H-B logo).",2004
136353,5.0,Scooby-Doo! and the Loch Ness Monster,Children,"Scooby-Doo! and the Loch Ness Monster is a 2004 direct-to-video animated comedy horror film, and the seventh direct-to-video movie based upon the Scooby-Doo Saturday morning cartoons. It was released on June 22, 2004, and it was produced by Warner Bros. Animation (although Warner Bros. had fully absorbed Hanna-Barbera Cartoons by this time, Hanna-Barbera was still credited as the copyright holder and the movie ended with an H-B logo).",2004
136353,5.0,Scooby-Doo! and the Loch Ness Monster,Animation,"Scooby-Doo! and the Loch Ness Monster is a 2004 direct-to-video animated comedy horror film, and the seventh direct-to-video movie based upon the Scooby-Doo Saturday morning cartoons. It was released on June 22, 2004, and it was produced by Warner Bros. Animation (although Warner Bros. had fully absorbed Hanna-Barbera Cartoons by this time, Hanna-Barbera was still credited as the copyright holder and the movie ended with an H-B logo).",2004
136341,5.0,Scooby-Doo! and the Samurai Sword,Comedy,"Scooby-Doo! and the Samurai Sword is a 2009 direct-to-DVD animated comedy mystery martial arts film, as well as the thirteenth entry in a series of direct-to-video animated films based upon the Scooby-Doo Saturday morning cartoon franchise. In the United States, the DVD sold 163,890 units in its first week and as of January 2014, it has sold approximately 524,725 units.",2009
136834,5.0,The Eye: Infinity,Horror,"The Eye 10, also known as The Eye Infinity, also released as The Eye 3, is a 2005 horror film directed by the Pang brothers, starring Bolin Chen, Kate Yeung, Isabella Leong, Bongkoj Khongmalai, Ray MacDonald and Kris Gu. The number ""10"" in the title is not an indicator of chronology in The Eye film series. The film is actually the third of a film trilogy by the Pang brothers.",2005
136850,5.0,Villain,Drama,"A village is a clustered human settlement or community, larger than a hamlet but smaller than a town (although the word is often used to describe both hamlets and smaller towns), with a population ranging from a few hundred to a few thousand. Though villages are often located in rural areas, the term urban village is also applied to certain urban neighborhoods. Villages are normally permanent, with fixed dwellings; however, transient villages can occur. Further, the dwellings of a village are fairly close to one another, not scattered broadly over the landscape, as a dispersed settlement.",1971
136850,5.0,Villain,Thriller,"A village is a clustered human settlement or community, larger than a hamlet but smaller than a town (although the word is often used to describe both hamlets and smaller towns), with a population ranging from a few hundred to a few thousand. Though villages are often located in rural areas, the term urban village is also applied to certain urban neighborhoods. Villages are normally permanent, with fixed dwellings; however, transient villages can occur. Further, the dwellings of a village are fairly close to one another, not scattered broadly over the landscape, as a dispersed settlement.",1971
1310,5.0,Hype!,Documentary,"A hype man, in hip hop music and rapping, is a backup rapper and/or singer who supports the primary rappers with exclamations and interjections and who attempts to increase the audience's excitement with call-and-response chants. Music writer Mickey Hess expands the term as follows: ""a hype man is a figure who plays a central but supporting role within a group, making his own interventions, generally aimed at hyping up the crowd while also drawing attention to the words of the MC"".",1996
73822,5.0,Meantime,Drama,"In the Meantime may refer to: 
* In the Meantime (album), an album by Christine McVie 
* In the Meantime (Joe Pug EP) 
* In the Meantime, In Between Time, an EP by The Party 
* In the Meantime and In Between Time, an album by SNFU 
* ""In the Meantime"" (Helmet song), a song by Helmet 
* ""In the Meantime"" (Spacehog song), a song by Spacehog 
* In the Meantime (book), a book by Iyanla Vanzant 
* In the Meantime, Darling, a film by Otto Preminger 
* , first album by South African band Watershed",1984
140133,5.0,Hollywood Chainsaw Hookers,Horror,"Hollywood Chainsaw Hookers is a 1988 American comedy horror B-movie directed by Fred Olen Ray, and starring Gunnar Hansen, Linnea Quigley, Jay Richardson and Michelle Bauer.",1988
74226,5.0,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El)",Documentary,"Dream of Light (Spanish: El sol del membrillo, lit. ""The Sun of the Quince""), also known as The Quince Tree Sun, is a 1992 Spanish narrative/documentary film directed by Victor Erice. The film centers on Spanish painter Antonio López García and his attempt to paint the eponymous quince tree. López struggles to capture a perfect, fleeting moment of beauty on canvas, and the film meticulously chronicles his work.",1992
139640,5.0,Ooops! Noah is Gone...,Animation,Ooops! Noah Is Gone... (also known as All Creatures Big and Small in the United States and Two by Two in the United Kingdom) is a 2015 German-Luxembourgish-Belgian-Irish 3D computer-animated adventure comedy film about what happened to the creatures that missed Noah's Ark.,2015
74226,5.0,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El)",Drama,"Dream of Light (Spanish: El sol del membrillo, lit. ""The Sun of the Quince""), also known as The Quince Tree Sun, is a 1992 Spanish narrative/documentary film directed by Victor Erice. The film centers on Spanish painter Antonio López García and his attempt to paint the eponymous quince tree. López struggles to capture a perfect, fleeting moment of beauty on canvas, and the film meticulously chronicles his work.",1992
138966,5.0,Nasu: Summer in Andalusia,Animation,"Nasu: Summer in Andalusia (茄子 アンダルシアの夏, Nasu: Andarushia no Natsu) is a 2003 Japanese anime film by Madhouse, directed by Kitarō Kōsaka, the famed animation supervisor of the Oscar-winning anime film Spirited Away and Princess Mononoke and long-time collaborator of Studio Ghibli, and adapted from a short 3-tankōbon manga by Iō Kuroda, entitled Nasu, which was serialized in the Afternoon manga magazine.",2003
138835,5.0,Return to Treasure Island,Animation,,1988
138835,5.0,Return to Treasure Island,Adventure,,1988
138632,5.0,Tokyo Tribe,Sci-Fi,"Tokyo Tribes, known in Japanese as Tokyo Tribe-2 (トウキョウ トライブ トゥー, Tōkyō Toraibu Tū), is a seinen manga series by Santa Inoue. Tokyo Tribes was originally serialized from 1997 to 2005 in the urban fashion magazine boon. It is a continuation of the plot in Tokyo Tribe, although many of the characters from that story do not appear in this series. A live-action film adaptation directed by Sion Sono was released in Japan on August 30, 2014, which featured a shock video called ""Goosh Goosh"" in 2011.",2014
138632,5.0,Tokyo Tribe,Drama,"Tokyo Tribes, known in Japanese as Tokyo Tribe-2 (トウキョウ トライブ トゥー, Tōkyō Toraibu Tū), is a seinen manga series by Santa Inoue. Tokyo Tribes was originally serialized from 1997 to 2005 in the urban fashion magazine boon. It is a continuation of the plot in Tokyo Tribe, although many of the characters from that story do not appear in this series. A live-action film adaptation directed by Sion Sono was released in Japan on August 30, 2014, which featured a shock video called ""Goosh Goosh"" in 2011.",2014
138632,5.0,Tokyo Tribe,Crime,"Tokyo Tribes, known in Japanese as Tokyo Tribe-2 (トウキョウ トライブ トゥー, Tōkyō Toraibu Tū), is a seinen manga series by Santa Inoue. Tokyo Tribes was originally serialized from 1997 to 2005 in the urban fashion magazine boon. It is a continuation of the plot in Tokyo Tribe, although many of the characters from that story do not appear in this series. A live-action film adaptation directed by Sion Sono was released in Japan on August 30, 2014, which featured a shock video called ""Goosh Goosh"" in 2011.",2014
138632,5.0,Tokyo Tribe,Action,"Tokyo Tribes, known in Japanese as Tokyo Tribe-2 (トウキョウ トライブ トゥー, Tōkyō Toraibu Tū), is a seinen manga series by Santa Inoue. Tokyo Tribes was originally serialized from 1997 to 2005 in the urban fashion magazine boon. It is a continuation of the plot in Tokyo Tribe, although many of the characters from that story do not appear in this series. A live-action film adaptation directed by Sion Sono was released in Japan on August 30, 2014, which featured a shock video called ""Goosh Goosh"" in 2011.",2014
6086,5.0,"I, the Jury",Thriller,"I, the Jury is the 1947 debut novel of American crime fiction writer Mickey Spillane, the first work to feature private investigator Mike Hammer.",1982
6086,5.0,"I, the Jury",Drama,"I, the Jury is the 1947 debut novel of American crime fiction writer Mickey Spillane, the first work to feature private investigator Mike Hammer.",1982
6086,5.0,"I, the Jury",Crime,"I, the Jury is the 1947 debut novel of American crime fiction writer Mickey Spillane, the first work to feature private investigator Mike Hammer.",1982
6021,5.0,"American Friend, The (Amerikanische Freund, Der)",Thriller,"The American Friend (German: Der amerikanische Freund) is a 1977 neo-noir film by Wim Wenders, adapted from the novel Ripley's Game by Patricia Highsmith. The film features Dennis Hopper as career criminal Tom Ripley and Bruno Ganz as Jonathan Zimmermann, a terminally ill picture framer whom Ripley coerces into becoming an assassin. The film uses an unusual, ""natural"" language concept, meaning that Zimmermann speaks German with his family and his doctor, but English with Ripley and whilst visiting Paris.",1977
6021,5.0,"American Friend, The (Amerikanische Freund, Der)",Mystery,"The American Friend (German: Der amerikanische Freund) is a 1977 neo-noir film by Wim Wenders, adapted from the novel Ripley's Game by Patricia Highsmith. The film features Dennis Hopper as career criminal Tom Ripley and Bruno Ganz as Jonathan Zimmermann, a terminally ill picture framer whom Ripley coerces into becoming an assassin. The film uses an unusual, ""natural"" language concept, meaning that Zimmermann speaks German with his family and his doctor, but English with Ripley and whilst visiting Paris.",1977
6021,5.0,"American Friend, The (Amerikanische Freund, Der)",Drama,"The American Friend (German: Der amerikanische Freund) is a 1977 neo-noir film by Wim Wenders, adapted from the novel Ripley's Game by Patricia Highsmith. The film features Dennis Hopper as career criminal Tom Ripley and Bruno Ganz as Jonathan Zimmermann, a terminally ill picture framer whom Ripley coerces into becoming an assassin. The film uses an unusual, ""natural"" language concept, meaning that Zimmermann speaks German with his family and his doctor, but English with Ripley and whilst visiting Paris.",1977
136341,5.0,Scooby-Doo! and the Samurai Sword,Children,"Scooby-Doo! and the Samurai Sword is a 2009 direct-to-DVD animated comedy mystery martial arts film, as well as the thirteenth entry in a series of direct-to-video animated films based upon the Scooby-Doo Saturday morning cartoon franchise. In the United States, the DVD sold 163,890 units in its first week and as of January 2014, it has sold approximately 524,725 units.",2009
77846,5.0,12 Angry Men,Crime,"12 Angry Men is a 1957 American courtroom drama film directed by Sidney Lumet, adapted from a teleplay of the same name by Reginald Rose. This courtroom drama tells the story of a jury of 12 men as they deliberate the conviction or acquittal of an 18-year old defendant on the basis of reasonable doubt, forcing the jurors to question their morals and values.",1997
131724,5.0,The Jinx: The Life and Deaths of Robert Durst,Documentary,"The Jinx: The Life and Deaths of Robert Durst is a 2015 HBO documentary miniseries about New York real estate heir Robert Durst, an accused murderer. It was written by Andrew Jarecki, Marc Smerling, and Zachary Stuart-Pontier. The Jinx gained widespread exposure when Durst was arrested on first-degree murder charges for the death of his friend Susan Berman, the day before its finale aired.",2015
131610,5.0,Willy/Milly,Fantasy,"Something Special (also known as Willy/Milly and I Was a Teenage Boy) is a 1986 comedic fantasy film directed by Paul Schneider, based upon a story by the same name by Alan H. Friedman. The film follows the title character of Milly Niceman, a young tomboy who is unhappy with the traditional expectations for her gender and longs to become a boy so she can act however she wants. Initially released as I Was a Teenage Boy in 1986, the film was later re-titled to Something Special for a 1987 limited theatrical release and for a VHS release.",1986
131098,5.0,Saving Santa,Children,"The Basilica of Saint Sabina (Latin: Basilica Sanctae Sabinae, Italian: Basilica di Santa Sabina all'Aventino) is a historic church on the Aventine Hill in Rome, Italy. It is a titular minor basilica and mother church of the Roman Catholic Order of Preachers, better known as the Dominicans. Santa Sabina is perched high above the Tiber river to the north and the Circus Maximus to the east. It is next to the small public park of Giardino degli Aranci (""Garden of Oranges""), which has a scenic terrace overlooking Rome. It is a short distance from the headquarters of the Knights of Malta.",2013
130978,5.0,Love and Pigeons,Romance,"Love and Pigeons (Russian: Любовь и голуби, romanized: Lyubov i golubi) is a 1984 Soviet romantic comedy film by Vladimir Menshov whose previous film Moscow Does Not Believe In Tears won an Academy Award for Best Foreign Language Film. It is based on scriptwriter 's play of the same name. The film was the leader of Soviet distribution in 1984 and sold some 44.5 million tickets. An outdoor sculpture based on the film's characters was unveiled in Cheremkhovo, Siberia in 2011.",1985
80124,5.0,Sisters (Syostry),Action,"The Trưng sisters (Vietnamese: Hai Bà Trưng, literally ""Two Ladies [named] Trưng"", c. AD 12 – c. AD 43) were Vietnamese military leaders who ruled for three years after rebelling in AD 40 against the first Chinese domination of Vietnam. They are regarded as national heroines of Vietnam. Their names were Trưng Trắc (徵側) and Trưng Nhị (徵貳). The Trưng sisters were highly educated under the watchful eyes of their father; they excelled in both literature and martial arts. Both were in line to inherit their father's land and titles.",2001
80124,5.0,Sisters (Syostry),Crime,"The Trưng sisters (Vietnamese: Hai Bà Trưng, literally ""Two Ladies [named] Trưng"", c. AD 12 – c. AD 43) were Vietnamese military leaders who ruled for three years after rebelling in AD 40 against the first Chinese domination of Vietnam. They are regarded as national heroines of Vietnam. Their names were Trưng Trắc (徵側) and Trưng Nhị (徵貳). The Trưng sisters were highly educated under the watchful eyes of their father; they excelled in both literature and martial arts. Both were in line to inherit their father's land and titles.",2001
5746,5.0,Galaxy of Terror (Quest),Sci-Fi,"Galaxy of Terror is a 1981 science fiction horror film produced by Roger Corman through New World Pictures and directed by Bruce D. Clark. It was distributed by United Artists. It stars Edward Albert, Erin Moran, Ray Walston and Taaffe O'Connell.",1981
5746,5.0,Galaxy of Terror (Quest),Mystery,"Galaxy of Terror is a 1981 science fiction horror film produced by Roger Corman through New World Pictures and directed by Bruce D. Clark. It was distributed by United Artists. It stars Edward Albert, Erin Moran, Ray Walston and Taaffe O'Connell.",1981
5746,5.0,Galaxy of Terror (Quest),Horror,"Galaxy of Terror is a 1981 science fiction horror film produced by Roger Corman through New World Pictures and directed by Bruce D. Clark. It was distributed by United Artists. It stars Edward Albert, Erin Moran, Ray Walston and Taaffe O'Connell.",1981
1151,5.0,Lesson Faust,Fantasy,"Action! Drama! Suspense! is the second full-length album from Syracuse, NY pop-punk band, Honor Bright. This is their first album on Triple Crown Records, and was released on July 20, 2010. The album was produced by Tom Denney, formerly of A Day To Remember, and Jason Lancaster, of Go Radio and formerly of Mayday Parade.",1994
79897,5.0,Get Low,Mystery,"Get Low LP is an album by rapper Romeo. It includes guest performances by Colby O'Donis, Akon, Young V, Rich Boyz, Bobby V and Marques Houston. It contained early songs & new songs from him. The album debuted at #149 on the Billboard 200.",2009
134004,5.0,What Love Is,Romance,"This is a list of known albums and DVDs belonging to the Now That's What I Call Music! series. They are categorised by series (country), then ordered by date.",2007
134796,5.0,Bitter Lake,Documentary,"The Great Bitter Lake (Arabic: البحيرة المرة الكبرى‎; transliterated: al-Buhayrah al-Murra al-Kubra) is a saltwater lake in Egypt, connected to the Mediterranean Sea and the Red Sea via the Suez Canal. It is connected to the Small Bitter Lake (Arabic: البحيرة المرة الصغرى; transliterated: al-Buhayrah al-Murra as-Sughra), through which the canal also runs. Before the canal was built (1869), the site was a dry salt valley or basin. References are made to the Great Bitter Lake in the ancient Pyramid Texts. Ships traveling through the Suez Canal use the Great Bitter Lake as a ""passing lane"", where they can change their position in line or turn around.",2015
3792,5.0,Duel in the Sun,Romance,,1946
3792,5.0,Duel in the Sun,Western,,1946
5889,5.0,"Cruel Romance, A (Zhestokij Romans)",Romance,"Central European Time (CET), used in most parts of Europe and a few North African countries, is a standard time which is 1 hour ahead of Coordinated Universal Time (UTC). The time offset from UTC can be written as UTC+01:00. The same standard time, UTC+01:00, is also known as Middle European Time (MET, German: MEZ) and under other names like Berlin Time, Warsaw Time and Romance Standard Time (RST), Paris Time or Rome Time. The 15th meridian east is the central axis for UTC+01:00 in the world system of time zones.",1984
5888,5.0,Brother (Brat),Crime,"Big Brother is a Dutch reality competition television franchise created by John de Mol Jr., first broadcast in the Netherlands in 1999, and subsequently syndicated internationally. The show features contestants called ""housemates"" or ""House Guests"" who live together in a specially constructed house that is isolated from the outside world. The name is inspired by Big Brother from George Orwell's novel Nineteen Eighty-Four, and the housemates are continuously monitored during their stay in the house by live television cameras as well as personal audio microphones. Throughout the course of the competition, they are voted out (usually on a weekly basis) until only one remains and wins the cash prize.",1997
132333,5.0,Seve,Documentary,"Severiano Ballesteros Sota (Spanish pronunciation: [seβeˈɾjano βaʎesˈteɾos]; 9 April 1957 – 7 May 2011) was a Spanish professional golfer, a World No. 1 who was one of the sport's leading figures from the mid-1970s to the mid-1990s. A member of a gifted golfing family, he won 90 international tournaments in his career, including five major championships between 1979 and 1988: the Open Championship three times and the Masters Tournament twice. He gained attention in the golfing world in 1976, when at the age of 19, he finished second at The Open. He played a leading role in the re-emergence of European golf, helping the European Ryder Cup team to five wins both as a player and captain. He is generally regarded as the greatest Continental European golfer of all time.",2014
132153,5.0,Buzzard,Horror,"Leighton Buzzard ( LAY-tən BUZ-ərd) is a town in Bedfordshire, England, near the Chiltern Hills and lying between Luton and Milton Keynes. It adjoins Linslade and the name Leighton Linslade is sometimes used to refer to the combination of the two towns; parts of this article also apply to Linslade as well as Leedon. For local government purposes, the town is part of the Central Bedfordshire district and is administered jointly with Linslade as the civil parish of Leighton-Linslade.",2015
72692,5.0,Mickey's Once Upon a Christmas,Fantasy,"Mickey's Once Upon a Christmas is a 1999 direct-to-video animated Christmas anthology film produced by Walt Disney Video Premieres and won the Award for Best Animated Feature Film at the 5th Kecskemét Animation Film Festival in 1999. The video features Mickey Mouse, Minnie Mouse, Pluto, Pete, Goofy, Max, Donald Duck, Daisy Duck, Huey, Dewey, and Louie, Scrooge McDuck, Mortimer Mouse, Figaro the Kitten and Chip 'n' Dale with cameos by Owl, Clarabelle Cow, Horace Horsecollar, and a Beagle Boy. The film comprises three separate segments, with narration by Kelsey Grammer. A sequel, titled Mickey's Twice Upon a Christmas, was released in 2004.",1999
64501,5.0,Che: Part Two,War,"Che is a two-part 2008 biographical film about Argentine Marxist revolutionary Ernesto ""Che"" Guevara, directed by Steven Soderbergh. Rather than follow a standard chronological order, the films offer an oblique series of interspersed moments along the overall timeline. Part One is titled The Argentine and focuses on the Cuban Revolution from the landing of Fidel Castro, Guevara, and other revolutionaries in Cuba to their successful toppling of Fulgencio Batista's dictatorship two years later. Part Two is titled Guerrilla and focuses on Guevara's attempt to bring revolution to Bolivia and his demise. Both parts are shot in a cinéma vérité style, but each has different approaches to linear narrative, camerawork and the visual look. It stars Benicio del Toro as Guevara, with an ensemble cast",2008
6818,5.0,Come and See (Idi i smotri),War,"""Make Me Smile (Come Up and See Me)"" is a song by British rock band Steve Harley & Cockney Rebel, released as the lead single from the band's 1975 album The Best Years of Our Lives. It was written by Harley, and produced by Harley and Alan Parsons. In February 1975, the song reached the number-one spot on the UK chart and received a UK Silver certification. It spent nine weeks in the Top 50, and as of 2015, has sold over 1.5 million copies worldwide.",1985
147326,5.0,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers,Mystery,"Mystery fiction is a genre of fiction usually involving a mysterious death or a crime to be solved. Often with a closed circle of suspects, each suspect is usually provided with a credible motive and a reasonable opportunity for committing the crime. The central character will often be a detective (like Sherlock Holmes and his assistant John H. Watson) who eventually solves the mystery by logical deduction from facts presented to the reader. Sometimes mystery books are nonfictional. ""Mystery fiction"" can be detective stories in which the emphasis is on the puzzle or suspense element and its logical solution such as a whodunit. Mystery fiction can be contrasted with hardboiled detective stories, which focus on action and gritty realism.",1980
147300,5.0,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches,Mystery,"The Twentieth Century Approaches (Russian: Двадцатый век начинается) is a 1986 Soviet film adaptation of Arthur Conan Doyle's stories about Sherlock Holmes. It is the fifth film in The Adventures of Sherlock Holmes and Dr. Watson film series directed by Igor Maslennikov. The film is based on four stories by Conan Doyle – ""The Adventure of the Engineer's Thumb"", ""The Adventure of the Second Stain"", ""The Adventure of the Bruce-Partington Plans"", ""His Last Bow"".",1986
