business_id,avg_score,categories,name,state,working_hours,city,address
dRqRBDrQZsNKo72JlEcejw,5.0,"['Car Wash', ' Automotive', ' Auto Detailing']",RECON Auto Detailing,AZ,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",Catalina Foothills,
lq4bgjDiAYR6i63-ZDiBGg,5.0,"['Event Planning & Services', ' DJs']",Muse Entertainment,AZ,,Tucson,
sSCTL4XvhBPZDdmnOYGmGA,5.0,"['Home Services', ' Real Estate', ' Real Estate Agents']",Corissa Miller,AZ,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Tucson,Tucson's Tlc Realty
yX-eHIG--H3geTNWZ2Q6SA,5.0,"['Shaved Ice', ' Food Stands', ' Restaurants', ' Street Vendors', ' Food Trucks', ' Food', ' Desserts']",Crush Gourmet Raspados,AZ,"{'Monday': '9:0-9:0', 'Tuesday': '9:0-9:0', 'Wednesday': '9:0-9:0', 'Thursday': '9:0-9:0', 'Friday': '9:0-9:0', 'Saturday': '9:0-9:0', 'Sunday': '9:0-9:0'}",Tucson,1712 N Santa Rosa Ave
kJb4o8aZ_93iBMq-Hery1w,5.0,"['Automotive', ' Auto Repair', ' Oil Change Stations', ' Tires']",BRAKEmax,AZ,"{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '8:0-17:0'}",Tucson,3206 E Valencia Rd
ixj7fzkBZOvwIphmfbyJMg,5.0,"['Food', ' Candy Stores', ' Specialty Food']",Purple Penguin Candy Emporium,AZ,"{'Monday': '10:30-17:0', 'Tuesday': '10:30-17:0', 'Thursday': '10:30-17:0', 'Friday': '10:30-17:0', 'Saturday': '10:0-17:0', 'Sunday': '11:0-16:0'}",Tucson,3392 E 22nd St
Pns2l4eNsfO8kk83dixA6A,5.0,"['Doctors', ' Traditional Chinese Medicine', ' Naturopathic/Holistic', ' Acupuncture', ' Health & Medical', ' Nutritionists']","Abby Rappoport, LAC, CMQ",CA,,Santa Barbara,"1616 Chapala St, Ste 2"
bYjnX_J1bHZob10DoSFkqQ,5.0,"['Parenting Classes', ' Maternity Wear', ' Fashion', ' Education', ' Specialty Schools', ' Local Services', ' Home Services', ' Laundry Services', ' Child Care & Day Care', ' Shopping', ' Baby Gear & Furniture']",Tinkle Belle Diaper Service,CA,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '11:0-14:0'}",Santa Barbara,
xF9r1XbMvEOsJeHlmFhIvw,5.0,"['Professional Services', ' Officiants', ' Event Planning & Services', ' Wedding Planning']",Weddings in Santa Barbara,CA,"{'Monday': '6:0-23:30', 'Tuesday': '6:0-23:30', 'Wednesday': '6:0-23:30', 'Thursday': '6:0-23:30', 'Friday': '6:0-23:30', 'Saturday': '6:0-23:30', 'Sunday': '6:0-23:30'}",Santa Barbara,263 Santa Monica Way
Rad7bl6MFOEemh41CdREMQ,5.0,"['Community Service/Non-Profit', ' Shopping', ' Local Services', ' Bike Rentals', ' Bikes', ' Bike Repair/Maintenance', ' Active Life', ' Sporting Goods']",Isla Vista Community Bike Center,CA,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-19:0'}",Isla Vista,6584 Madrid Rd
X7FQ5k29A_RRYep7TOfjtw,5.0,"['Health & Medical', ' Beauty & Spas', ' Skin Care', ' Acupuncture', ' Massage', ' Traditional Chinese Medicine']","Dawna Ara, DACM, LAc",CA,"{'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0'}",Santa Barbara,"23 Hitchcock Way, Ste 110"
82suwumWp1MEq04QhiS9DQ,5.0,"['Recreation Centers', ' Arts & Entertainment', ' Virtual Reality Centers', ' Active Life']",Surreal Virtual Reality Studio,CA,"{'Monday': '11:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '16:0-20:0', 'Sunday': '16:0-20:0'}",Santa Barbara,"436 State St, Ste B"
BkmVHg6HjHWMc0OFxcd6VQ,5.0,"['Hair Stylists', ' Beauty & Spas', ' Hair Extensions', ' Hair Salons']",Hair By Audrey Johnson,CA,"{'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-16:0'}",Santa Barbara,
Jb1MlURq6ItKZ244tyoirA,5.0,"['Real Estate Agents', ' Home Services', ' Real Estate', ' Real Estate Services']",Jessie Sessions - Berkshire Hathaway Santa Barbara,CA,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Santa Barbara,3868 State St
wYROX7rw9fkQrWUS2YyY9g,5.0,"['Trainers', ' Health & Medical', ' Nutritionists', ' Boot Camps', ' Fitness & Instruction', ' Gyms', ' Active Life']",Will Nelson Fitness,CA,"{'Monday': '5:0-19:0', 'Tuesday': '5:0-19:0', 'Wednesday': '5:0-19:0', 'Thursday': '5:0-19:0', 'Friday': '5:0-19:0', 'Saturday': '6:0-13:0', 'Sunday': '6:0-13:0'}",Santa Barbara,"324 State St, Ste C"
BMTtMWDR3zcR5T30GFDoXQ,5.0,"['Real Estate', ' Home Services', ' Home Inspectors', ' Handyman', ' Real Estate Services']",CA Pro Home Inspection,CA,"{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}",Santa Barbara,"3463 State St, Ste 139"
C_k12ohqzRrF0P9aJVwocQ,4.5,"['Photographers', ' Event Planning & Services', ' Professional Services']",Travis Darnell Photography,CO,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",Denver,
g0mm9BzcG7AdpTbJf2gzgA,4.0,"['Sporting Goods', ' Shopping', ' Outdoor Gear']",Breeze Ski Rentals,CO,,Dumont,I 70 & Dumont
1H9WYGFJ4AFwXq7WCOOMtg,3.5,"['Buffets', ' Restaurants']",Two Elk Restaurant,CO,,Vail,12000 Skyline Dr
tj9T7SUDD0SZZwq0LqKz4Q,5.0,"['Food', ' Beer', ' Wine & Spirits']",Pecos Liquor Store,DE,"{'Monday': '9:30-22:0', 'Tuesday': '9:30-22:0', 'Wednesday': '9:30-22:0', 'Thursday': '9:30-22:0', 'Friday': '9:30-22:0', 'Saturday': '9:30-22:0', 'Sunday': '12:0-17:0'}",Wilmington,522 Philadelphia Pike
_Oksx3ALgKLRVxeAR8l_qA,5.0,"['Restaurants', ' Mexican', ' Arts & Entertainment', ' Event Planning & Services', ' Italian', ' Gluten-Free', ' Nightlife', ' Lounges', ' Vegan', ' Bars', ' Caterers', ' Vegetarian']",V-Trap Kitchen and Lounge,DE,"{'Monday': '0:0-0:0', 'Tuesday': '12:0-19:0', 'Wednesday': '12:0-19:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0'}",Wilmington,607 N Lincoln St
h1TvMmhnpzyPlHR7KWa2pQ,5.0,"['Florists', ' Shopping', ' Accessories', ' Fashion', ' Gift Shops', ' Flowers & Gifts']",Petals Flowers & Fine Gifts,DE,"{'Monday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-16:0'}",Wilmington,4 West Rockland Rd
RUoemZWbbCz0gAfAovIJQQ,5.0,"['Pet Groomers', ' Pets', ' Pet Services']",Bark Avenue Dog Day Camp,DE,"{'Monday': '7:30-18:30', 'Tuesday': '7:30-18:30', 'Wednesday': '7:30-18:30', 'Thursday': '7:30-18:30', 'Friday': '7:30-18:30'}",Claymont,"100 Naamans Rd, Ste 2A"
a2fJVXFAfjCMrPBQIDNAQw,5.0,"['Auto Repair', ' Automotive']",Brian's Auto Service,DE,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",Wilmington,1301 Centerville Rd
Vo4NZBtF3mr6EJitNnq-Wg,5.0,"['Restaurants', ' Pizza', ' Salad', ' Sushi Bars']",Pizzeria Maki,DE,,Greenville,"4007 Kennett Pike, Ste A"
sFtEbnWDtIADseyr8Lx6Qw,5.0,"['Caribbean', ' Restaurants', ' Food']",Spice N' Nice,DE,"{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '8:30-18:0'}",New Castle,3125 New Castle Ave
rS4WHgdijBcg4LRCGfyrJQ,5.0,"['Automotive', ' Tires', ' Auto Repair']",Phil's Auto Repair,DE,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",Wilmington,601 Boxwood Rd
kwIdf04VPKwlqBtcubQuNw,5.0,"['Auto Repair', ' Automotive']",Ray's Certified Auto Repair,DE,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",Wilmington,2042 Telegraph Rd
PnJOVC9WGuMrNi5vQ04gMA,5.0,"['Hair Salons', ' Massage', ' Beauty & Spas', ' Day Spas']",Bliss Elements Salon and Spa,DE,"{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '7:0-11:30'}",Wilmington,2400 Kirkwood Hwy
jaxMSoInw8Poo3XeMJt8lQ,5.0,"['General Dentistry', ' Dentists', ' Health & Medical', ' Cosmetic Dentists']",Adams Dental,FL,"{'Monday': '7:30-15:30', 'Tuesday': '7:30-15:30', 'Wednesday': '7:30-15:30', 'Thursday': '7:30-15:30'}",Clearwater,15 N Missouri Ave
RK6-cJ9hj53RzOlCBmpT-g,5.0,"['Restaurants', ' Italian', ' Food Trucks', ' Food']",Impasto,FL,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Tampa,
bi3SICnYEuFC7Cihyqz8Nw,5.0,"['Tires', ' Automotive']",Thach Used Tires,FL,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}",Tampa,4916 Causeway Blvd
G89OuZ3sIEfOR5cXeDqNaA,5.0,"['Barbers', ' Beauty & Spas']",Bulls Barbershop,FL,"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-19:0', 'Sunday': '10:0-17:0'}",Temple Terrace,10811 N 56th St
Rz0KfP7YAZV_yQE8uIB0fg,5.0,"['Puerto Rican', ' Caribbean', ' Latin American', ' Restaurants']",El Sabor Boricua,FL,"{'Wednesday': '11:0-15:0', 'Thursday': '11:0-15:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-17:0'}",Tampa,11612 N Nebraska Ave
bNJSy64VXxQ3RZ8tNpM-fA,5.0,"['Active Life', ' Parasailing', ' Beaches', ' Boating']",Parasailing The Pass,FL,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}",Treasure Island,12754 Kingfish Dr
LFPJXiuM357JZ-d0vv6yxw,5.0,"['Pest Control', ' Wildlife Control', ' Local Services', ' Gutter Services', ' Insulation Installation', ' Home Services']",Wildout Animal & Pest Removal Tampa,FL,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-12:0'}",Tampa,13815 Cypress Village Cir
g736EKijhJTrQbqoQAo9Tw,5.0,"['Pet Services', ' Pet Groomers', ' Pet Sitting', ' Pets']",The Pet Trailer Mobile Grooming,FL,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0'}",Pinellas Park,6153 103rd Ave N
AgbRp5NLsP1-J1fdg6Hdcw,5.0,"['Sporting Goods', ' Bikes', ' Shopping']",Hands On Bicycle,FL,"{'Monday': '6:0-17:0', 'Tuesday': '6:0-17:0', 'Wednesday': '6:0-17:0', 'Thursday': '6:0-17:0', 'Friday': '6:0-17:0', 'Saturday': '6:0-14:0'}",Clearwater,1453 Gulf To Bay Blvd
p3QzxYDXLs6AthCldH-_Og,5.0,"['Contractors', ' Garage Door Services', ' Home Services']",James L Frank Door Service,FL,"{'Monday': '8:0-17:30', 'Tuesday': '8:0-17:30', 'Wednesday': '8:0-17:30', 'Thursday': '8:0-17:30', 'Friday': '8:0-17:30'}",Wesley Chapel,6415 Wendell Dr
_sE5Fw4Ui2XbvMLPUL9Bcw,5.0,"['Event Planning & Services', ' Professional Services', ' Session Photography', ' Photographers', ' Event Photography']",2 Sisters Photography,HI,"{'Monday': '16:0-20:0', 'Tuesday': '16:0-20:0', 'Wednesday': '16:0-20:0', 'Thursday': '16:0-20:0', 'Friday': '16:0-20:0', 'Saturday': '6:0-20:0', 'Sunday': '6:0-20:0'}",Tucson,
bw90rjFL02A_8rVE34m5Lg,3.5,"['Cosmetic Surgeons', ' Pizza', ' Doctors', ' Beauty & Spas', ' Nail Salons', ' Cosmetics & Beauty Supply', ' Chiropractors', ' Shopping', ' Restaurants', ' Health & Medical']",Cosmetic Solutions,HI,,Lula Lula,1010 Lula Lula Dr
fvWn8oXXwbj2l79cochZyw,5.0,"['Trampoline Parks', ' Active Life']",Altitude Trampoline Park - Boise,ID,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '10:0-20:0'}",Boise,1301 N Milwaukee St
n7AQvGvNHlmun3kqXeBKVQ,5.0,"['Local Services', ' Appliances & Repair']",Roy's Appliance Service,ID,"{'Monday': '0:0-0:0', 'Tuesday': '8:30-15:0', 'Wednesday': '8:30-15:0', 'Thursday': '8:30-15:0', 'Friday': '8:30-15:0'}",Meridian,
U2Tzy6J9aAAg9pzXsgdkvg,5.0,"['Real Estate', ' Home Services', ' Financial Services', ' Mortgage Brokers', ' Mortgage Lenders']",Premier Mortgage Resources,ID,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Meridian,"3363 E Presidential Dr, Ste 200"
34YgAnnZAPOeu8E-6IESJQ,5.0,"['Session Photography', ' Photographers', ' Pets', ' Pet Services', ' Event Planning & Services', ' Pet Photography', ' Real Estate Services', ' Real Estate Photography', ' Event Photography', ' Real Estate', ' Home Services']",Think Box Photography,ID,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Boise,
LdQUIP4_DPnJjq-Jf2_iNg,5.0,"['Auto Repair', ' Automotive', ' Auto Customization']",Boise 4x4,ID,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",Boise,2760 S Featherly Way
5SV2YI6MBSOWaEwB8pBHtQ,5.0,"['Hair Salons', ' Beauty & Spas']",Collective Concept,ID,"{'Monday': '10:0-17:0', 'Tuesday': '8:45-19:30', 'Wednesday': '8:45-19:30', 'Thursday': '7:45-19:45', 'Friday': '7:45-18:0', 'Saturday': '10:30-17:0'}",Boise,114 S 5th St
rHYkTWW9JnbqMYKrTzGFPg,5.0,"['Tires', ' Trailer Repair', ' Automotive', ' Badminton', ' Active Life', ' Auto Parts & Supplies']",Major Tire & Hitch,ID,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",Boise,106 W 40th St
NmWcA9gceH74HU-GNoQeNg,5.0,"['House Sitters', ' Home Services', ' Pet Hospice', ' Dog Walkers', ' Health & Medical', ' Pet Services', ' Pet Transportation', ' Active Life', ' Pets', ' Dog Parks', ' Parks', ' Pet Sitting']",Zen Pet Care Services,ID,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Boise,851 W Front St
hDZlx3y8F4TdajLV8BtQlw,5.0,"['Real Estate', ' Real Estate Agents', ' Home Services']",Sower Real Estate - Keller Williams Realty Boise,ID,"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0'}",Boise,1065 S Allante Pl
NToqVTAl9cCs-HFw2UxZfg,5.0,"['Food', ' Beer', ' Wine & Spirits']",Liquor Stores,ID,,Boise,5180 W Overland Rd
bCBPXIVfVzBZBEpFu29dcg,5.0,"['Shipping Centers', ' Local Services']",All In Shipping,IL,,Belleville,5343 Belleville Crossing St
MOBvgVwvZMV8hyngcr7hfw,5.0,"['Veterinarians', ' Pets']",Shiloh Veterinary Clinic,IL,"{'Monday': '8:0-18:0', 'Tuesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-12:0'}",Shiloh,3690 Green Mount Crossing
RpWoiNTe8mCVrcMoCDa86w,5.0,"['Antiques', ' Shopping']",My Vintage Addiction,IL,"{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0'}",Belleville,119 E Main St
iipnazeY9eoANJ37l5fKwA,5.0,"['Packing Services', ' Shipping Centers', ' Local Services', ' Home Services']",Post Pack & Ship,IL,,O'Fallon,637 W Hwy 50
f_6cI4MdPem_48WgD1Ofcw,5.0,"['Restaurants', ' Southern', ' Food Trucks', ' Food', ' Breakfast & Brunch', ' Desserts']",Clara B's Kitchen Table,IL,,Swansea,
PjBvEA5nhi7mxPQmdziKjA,5.0,"['Event Planning & Services', ' Photographers']",Conner Photography,IL,"{'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",Collinsville,101 E Main St
ifpC9lWYeOnNqs0Zgb5T_Q,5.0,"['Axe Throwing', ' Active Life']",The Axe Company,IL,"{'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '16:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-20:0'}",Glen Carbon,"20 Kettle River Dr, Ste A"
Birks4csk8zknL5a5QCiow,5.0,"['Ice Cream & Frozen Yogurt', ' Food']",Mello Freeze,IL,"{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}",East Saint Louis,1437 Bond Ave
o1ujL88KoXaX2y3hRzmyqQ,5.0,"['Acupuncture', ' Health & Medical', ' Physical Therapy', ' Weight Loss Centers', ' Massage Therapy', ' Chiropractors']",Darin Chiropractic,IL,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '2:0-18:0', 'Thursday': '8:0-18:0'}",Granite City,"62040-3980, Ste D"
_D7QoWuQKMXk0mEE7r_Ftw,5.0,"['Beer', ' Wine & Spirits', ' Bars', ' Wineries', ' Food', ' Nightlife', ' Arts & Entertainment', ' Wine Bars', ' Wine Tasting Room']",Chateau La VIn,IL,"{'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-23:0', 'Saturday': '16:0-23:0'}",Columbia,119 S Main St
REwfwz-_-CMQ7Np5UVi9Qg,5.0,"['Real Estate Agents', ' Home Services', ' Real Estate']",Jennie Deckert,IN,,Carmel,
vR9_bhoszcpXbB_APv6Xlw,5.0,"['Fashion', ' Shopping', "" Men's Clothing""]",James Dant,IN,"{'Monday': '11:0-17:0', 'Tuesday': '11:0-17:0', 'Wednesday': '11:0-17:0', 'Thursday': '11:0-17:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-17:0'}",Indianapolis,5624 E Washington St
Q3kQYhkYxSRyYyeBgtk--A,5.0,"['Home Services', ' Glass & Mirrors', ' Door Sales/Installation']",Cook's Glass & Mirror,IN,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",Indianapolis,5703 W Morris St
U2htB9qk4hOXCdkccvvW0Q,5.0,"['Shopping', ' Books', ' Mags', ' Music & Video', ' Toy Stores', ' Hobby Shops', ' Comic Books']",D's Toys,IN,"{'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '12:0-17:0'}",Indianapolis,"2616 Brill Rd, Ste A"
